original_link,city,colleges,addresses,title,company,resumes,link,location,lastnames,firstnames,preview,type,zipcodes
http://jobview.monster.com/Industrial-Sales-Representative-Entry-Level-Outside-Sales-Base-Salary-Extensive-Training-Job-New-York-City-NY-US-164590992.aspx?mescoid=4100683001001&jobPosition=11,New York,"[0, 1, 3, 2]","[5, 10, 18, 2]","

Industrial Sales Representative - Entry Level Outside Sales - Base Salary, Extensive Training

","
Rite-Hite Corporation
 ","[1, 4, 3, 5]",http://jobview.monster.com/Industrial-Sales-Representative-Entry-Level-Outside-Sales-Base-Salary-Extensive-Training-Job-New-York-City-NY-US-164590992.aspx,"


New York City
        ,NY


 ","[5, 8, 6, 7]","[5, 1, 3, 7]","
                                Rite-Hite, the global leader in industrial loading dock safety, is continuing its 50 year history of solid growth and success.  We're always looking ahead to the future, and to continue this growth, we are seeking entry level Sales Representative fo......
                            ",Sales,"[10, 4, 2, 6]"
http://jobview.monster.com/Sales-Applications-Engineer-Job-Springfield-NJ-US-165917854.aspx?mescoid=1500127001001&jobPosition=12,New York,"[0, 2, 3, 1]","[0, 9, 15, 1]","

Sales Applications Engineer

","
Management Recruiters of Edison
 ","[6, 7, 1, 5]",http://jobview.monster.com/Sales-Applications-Engineer-Job-Springfield-NJ-US-165917854.aspx,"


Springfield
        ,NJ

 ","[7, 3, 6, 0]","[4, 8, 6, 3]","
                                Our client  a leader in high precision flow control component manufacturing for Aerospace Industry, needs at their NJ HQ location. Excellent Salary + Incentive Bonus + Partial Relo + full Benefits 

 

Job Posting #: 1747R

 

Job Title: Sales Appl......
                            ",Sales,"[16, 7, 5, 15]"
http://jobview.monster.com/Sales-Account-Executive-Entry-Level-Learn-To-Sell-Job-Long-Island-City-NY-US-167049104.aspx?mescoid=4100683001001&jobPosition=13,New York,"[1, 2, 3, 0]","[16, 12, 1, 4]","

Sales Account Executive Entry Level - Learn To Sell

","
AppleOne
 ","[0, 6, 1, 7]",http://jobview.monster.com/Sales-Account-Executive-Entry-Level-Learn-To-Sell-Job-Long-Island-City-NY-US-167049104.aspx,"


Long Island City
        ,NY


 ","[5, 6, 7, 3]","[6, 5, 4, 1]","
                                Job Description: This Sales Account Executive Entry Level Position Features: ? Learn To Sell ? Grow With An Emerging Co. ? Salary/ Commission ? Great Pay to $K  Immediate need for sales account executive entry level seeking learn to sell, grow with ......
                            ",Sales,"[16, 15, 12, 13]"
http://jobview.monster.com/Regional-Sales-Manager-Job-Jersey-City-NJ-US-166373171.aspx?mescoid=4100666001001&jobPosition=14,New York,"[2, 1, 3, 0]","[4, 5, 9, 6]","

Regional Sales Manager

","
Bilfinger Water Technologies
 ","[5, 0, 1, 6]",http://jobview.monster.com/Regional-Sales-Manager-Job-Jersey-City-NJ-US-166373171.aspx,"


Jersey City
        ,NJ


 ","[7, 1, 3, 0]","[1, 8, 4, 0]","
                                Basic Function:

Actively market and promote the Companys capabilities in the Architecture, Landscape Architecture, Interior Design and & Construction markets - Primarily on the East Coast U.S.

 

Duties & Responsibilities:
- Achieve or exceed ann......
                            ",Sales,"[6, 5, 13, 17]"
http://jobview.monster.com/Architectural-Tile-Sales-Consultant-NYC-Job-New-York-City-NY-US-166669451.aspx?mescoid=4100683001001&jobPosition=15,New York,"[1, 0, 2, 3]","[4, 5, 3, 13]","

Architectural Tile Sales Consultant - NYC

","
Creative Materials Corporation
 ","[2, 0, 5, 6]",http://jobview.monster.com/Architectural-Tile-Sales-Consultant-NYC-Job-New-York-City-NY-US-166669451.aspx,"


New York City
        ,NY

 ","[6, 5, 2, 4]","[0, 6, 2, 7]","
                                Architectural Sales Consultant  NYC Market

 

Creative Materials Corporation (CMC), a national distributor of architecturally-specified porcelain/ceramic tile and related products, is seeking an Architectural Sales Consultantto drive the developme......
                            ",Sales,"[10, 18, 5, 4]"
http://jobview.monster.com/Sales-Account-Executive-Job-New-York-City-NY-US-166662706.aspx?mescoid=4100683001001&jobPosition=16,New York,"[0, 1, 2, 3]","[2, 16, 15, 1]","

Sales Account Executive

","
The Schegg Group
 ","[1, 4, 3, 2]",http://jobview.monster.com/Sales-Account-Executive-Job-New-York-City-NY-US-166662706.aspx,"


New York City
        ,NY


 ","[2, 0, 8, 6]","[1, 2, 7, 6]","
                                Are you stuck in a sales position         with no room for growth, no challenge, or bright future? 

Would you be excited to represent         a prestigious, industry-leading brand in the global luxury market?    



We have an opportunity for a    ......
                            ",Sales,"[1, 3, 4, 10]"
http://jobview.monster.com/Rheumatology-Product-Sales-Specialist-Jersey-City-NJ-Job-Jersey-City-NJ-US-166337971.aspx?mescoid=4100683001001&jobPosition=17,New York,"[0, 3, 1, 2]","[0, 2, 12, 15]","

Rheumatology Product Sales Specialist:(Jersey City, NJ)

","
Sanofi US
 ","[4, 7, 1, 6]",http://jobview.monster.com/Rheumatology-Product-Sales-Specialist-Jersey-City-NJ-Job-Jersey-City-NJ-US-166337971.aspx,"


Jersey City
        ,NJ

 ","[3, 5, 1, 2]","[7, 4, 1, 6]","
                                Rheumatology Product Sales Specialist:(Jersey City, NJ)-POS_75037277-1
Description
Sanofi Genzyme focuses on developing specialty treatments for debilitating diseases that are often difficult to diagnose and treat, providing hope to patients and the......
                            ",Sales,"[18, 5, 4, 17]"
http://jobview.monster.com/Senior-Sales-Person-Global-Infrastructure-Outsourcing-Job-New-York-NY-US-165974817.aspx?mescoid=4100683001001&jobPosition=18,New York,"[0, 1, 2, 3]","[7, 5, 4, 0]","

Senior Sales Person; Global Infrastructure Outsourcing

","
Capgemini
 ","[5, 3, 2, 6]",http://jobview.monster.com/Senior-Sales-Person-Global-Infrastructure-Outsourcing-Job-New-York-NY-US-165974817.aspx,"


New York
        ,NY


 ","[2, 4, 5, 3]","[8, 2, 1, 6]","
                                With more than 180,000 people in over 40 countries, Capgemini is one of the world's foremost providers of consulting, technology and outsourcing services. The Group reported 2015 global revenues of EUR 11.9 billion. Together with its clients, Capgem......
                            ",Sales,"[14, 5, 11, 8]"
http://jobview.monster.com/Network-Pre-Sales-Engineer-Job-New-York-City-NY-US-166668526.aspx?mescoid=4100688001001&jobPosition=19,New York,"[0, 3, 2, 1]","[12, 1, 5, 6]","

Network Pre-Sales Engineer

","
Naviron
 ","[1, 4, 3, 5]",http://jobview.monster.com/Network-Pre-Sales-Engineer-Job-New-York-City-NY-US-166668526.aspx,"


New York City
        ,NY

 ","[2, 1, 7, 0]","[5, 3, 7, 1]","
                                Our client is a provider of Mobile Security and Network Security  Software.  They are growing aggressively  and searching for an Engineer that will partner with the sales team to establish strategy and  technical direction for the territory.   We ar......
                            ",Sales,"[13, 11, 3, 14]"
http://jobview.monster.com/Sales-Executive-Job-Staten-Island-NY-US-165909414.aspx?mescoid=4100666001001&jobPosition=20,New York,"[0, 1, 3, 2]","[3, 14, 13, 17]","

Sales Executive

","
Genesis Biotechnology Group
 ","[6, 5, 2, 7]",http://jobview.monster.com/Sales-Executive-Job-Staten-Island-NY-US-165909414.aspx,"


Staten Island
        ,NY

 ","[6, 0, 8, 5]","[0, 3, 6, 2]","
                                Are you looking for a change? Are you a motivated Sales Person? Looking for a new career in Sales in the Medical and Laboratory field??Here is your chance.?  

Medical Diagnostic Laboratories, LLC?(MDL) is a CLIA certified clinical laboratory with m......
                            ",Sales,"[15, 11, 13, 17]"
